"count"	"track name"	"track mbid"	"artist name"	"artist mbid"	"uncorrected track name"	"uncorrected track mbid"	"uncorrected artist name"	"uncorrected artist mbid"	"album name"	"album mbid"	"album artist name"	"album artist mbid"
"1"	"Better Be Heaven"	"e84ff55e-9979-4e5f-8287-a244637fe493"	"Stars"	"16ebb731-7ba0-4dc0-ad87-ef4c56461d81"	"Better Be Heaven"	"e84ff55e-9979-4e5f-8287-a244637fe493"	"Stars"	"16ebb731-7ba0-4dc0-ad87-ef4c56461d81"	"Nightsongs"	"58c26acd-a1b3-482d-a96a-347d69b221c4"	"Stars"	"16ebb731-7ba0-4dc0-ad87-ef4c56461d81"
"1"	"The Real Slim Shady"	"0047fe48-1596-4472-9e15-19b70489af1f"	"Eminem"	"b95ce3ff-3d05-4e87-9e01-c97b66af13d4"	"The Real Slim Shady"	"0047fe48-1596-4472-9e15-19b70489af1f"	"Eminem"	"b95ce3ff-3d05-4e87-9e01-c97b66af13d4"	"The Slim Shady LP"	"13431411-1f9a-4aef-a9dd-fb589fcb18da"	"Eminem"	"b95ce3ff-3d05-4e87-9e01-c97b66af13d4"
"1"	"""Heroes"""	"dc27edc7-a862-4746-bf7d-119f74c9eead"	"David Bowie"	"5441c29d-3602-4898-b1a1-b77fa23b8e50"	"Heroes"	"4ba3a5c7-d811-405f-9e0e-3c8aff1cd919"	"David Bowie"	"5441c29d-3602-4898-b1a1-b77fa23b8e50"	"ChangesBowie"	"192532a2-bb74-34da-a160-dddae671d220"	"David Bowie"	"5441c29d-3602-4898-b1a1-b77fa23b8e50"
"1"	"White Houses"	"477fd283-967d-4646-8da9-9a2874dec35a"	"Vanessa Carlton"	"c1a61bb0-e4fe-4064-bc8d-954a2dafda79"	"White Houses"	"477fd283-967d-4646-8da9-9a2874dec35a"	"Vanessa Carlton"	"c1a61bb0-e4fe-4064-bc8d-954a2dafda79"	"Harmonium"	"694a1ff2-a97e-4da3-aee4-83ab2d7b26f8"	"Vanessa Carlton"	"c1a61bb0-e4fe-4064-bc8d-954a2dafda79"
"1"	"Today"	"62090407-3fa4-4fde-9238-25ce1a9cb1f1"	"The Smashing Pumpkins"	"2b42ec56-6785-4ed8-b3cb-190f750111bb"	"Today"	"62090407-3fa4-4fde-9238-25ce1a9cb1f1"	"The Smashing Pumpkins"	"2b42ec56-6785-4ed8-b3cb-190f750111bb"	"Siamese Dream"	"169149c3-85b6-41a6-bca6-ce848f8ef94c"	"The Smashing Pumpkins"	"2b42ec56-6785-4ed8-b3cb-190f750111bb"
"1"	"Careless Whisper"	"d57b6e89-c8a6-4f03-a6d0-b6940f062c3f"	"George Michael"	"a752d086-a265-4968-a882-2f69e9bc8f3b"	"Careless Whisper"	"d57b6e89-c8a6-4f03-a6d0-b6940f062c3f"	"George Michael"	"a752d086-a265-4968-a882-2f69e9bc8f3b"	"Make It Big"	""	"George Michael"	"a752d086-a265-4968-a882-2f69e9bc8f3b"
"1"	"I'm Not Your Boyfriend Baby"	"20553942-8058-433a-b242-ee5249642521"	"3OH!3"	"125948ec-7f91-4d1a-8b83-accbf50fae3d"	"I'm Not Your Boyfriend Baby"	"20553942-8058-433a-b242-ee5249642521"	"3OH!3"	"125948ec-7f91-4d1a-8b83-accbf50fae3d"	"Want"	"371be939-9b28-4682-9e1e-eeed75ed24f0"	"3OH!3"	"125948ec-7f91-4d1a-8b83-accbf50fae3d"
"1"	"Don't Cry"	"e2376599-7715-4a5d-9c37-30fc51151267"	"Guns N' Roses"	""	"Don't Cry"	"e2376599-7715-4a5d-9c37-30fc51151267"	"Guns N' Roses"	""	"Use Your Illusion II"	"7f3177a3-3dfa-4923-80b3-2e489fd4a571"	"Guns N' Roses"	""
"1"	"Push"	"0e02c463-1afe-4970-b1a9-44b505908251"	"Matchbox Twenty"	"75af9d25-cf32-49c0-9192-60bd8e9784e6"	"Push"	"0e02c463-1afe-4970-b1a9-44b505908251"	"Matchbox Twenty"	"75af9d25-cf32-49c0-9192-60bd8e9784e6"	"Yourself or Someone Like You"	"6dde1139-37cf-480b-a5d6-3021bad57898"	"Matchbox Twenty"	"75af9d25-cf32-49c0-9192-60bd8e9784e6"
"1"	"La La Love You"	"7c098bab-ad13-440c-ab7a-5cb8f6a4deec"	"Pixies"	"b6b2bb8d-54a9-491f-9607-7b546023b433"	"La La Love You"	"7c098bab-ad13-440c-ab7a-5cb8f6a4deec"	"Pixies"	"b6b2bb8d-54a9-491f-9607-7b546023b433"	"Doolittle"	"bdd0e35c-ce68-3f5b-b957-f83ab5846111"	"Pixies"	"b6b2bb8d-54a9-491f-9607-7b546023b433"
"1"	"Here Comes Your Man"	"e72ef88c-459e-4c48-8fce-8c84a4654516"	"Pixies"	"b6b2bb8d-54a9-491f-9607-7b546023b433"	"Here Comes Your Man"	"e72ef88c-459e-4c48-8fce-8c84a4654516"	"Pixies"	"b6b2bb8d-54a9-491f-9607-7b546023b433"	"Doolittle"	"bdd0e35c-ce68-3f5b-b957-f83ab5846111"	"Pixies"	"b6b2bb8d-54a9-491f-9607-7b546023b433"
"1"	"Screaming for Vengeance"	"047d9b2a-fb8d-4abb-a69d-8735ea831111"	"Judas Priest"	"6b335658-22c8-485d-93de-0bc29a1d0349"	"Screaming for Vengeance"	"047d9b2a-fb8d-4abb-a69d-8735ea831111"	"Judas Priest"	"6b335658-22c8-485d-93de-0bc29a1d0349"	"Screaming for Vengeance"	"ec1f859c-89d3-47c8-9c5d-a02772b644ea"	"Judas Priest"	"6b335658-22c8-485d-93de-0bc29a1d0349"
"1"	"Boatfriend"	"4282ba17-42eb-425e-8587-be75b888ffb4"	"Black Moth Super Rainbow"	"44e14e88-b17a-44d8-9e94-f3afa977239b"	"Boatfriend"	"4282ba17-42eb-425e-8587-be75b888ffb4"	"Black Moth Super Rainbow"	"44e14e88-b17a-44d8-9e94-f3afa977239b"	"Falling Through a Field"	"1de6450a-849b-48ac-b8e9-faa8909f0232"	"Black Moth Super Rainbow"	"44e14e88-b17a-44d8-9e94-f3afa977239b"
"1"	"Colorful Nickels"	"1e12d7e9-e4cc-4df6-bd58-cb3849a561e4"	"Black Moth Super Rainbow"	"44e14e88-b17a-44d8-9e94-f3afa977239b"	"Colorful Nickels"	"1e12d7e9-e4cc-4df6-bd58-cb3849a561e4"	"Black Moth Super Rainbow"	"44e14e88-b17a-44d8-9e94-f3afa977239b"	"Falling Through a Field"	"1de6450a-849b-48ac-b8e9-faa8909f0232"	"Black Moth Super Rainbow"	"44e14e88-b17a-44d8-9e94-f3afa977239b"
"1"	"Cote De Neiges"	"1b0e5e6a-2581-40b0-83c3-c9cdae7bbd6e"	"Stars"	"16ebb731-7ba0-4dc0-ad87-ef4c56461d81"	"Cotes des Neiges"	""	"Stars"	"16ebb731-7ba0-4dc0-ad87-ef4c56461d81"	"The Comeback EP"	"7d0aae86-cfc2-429c-b716-6839dfb4940c"	"Stars"	"16ebb731-7ba0-4dc0-ad87-ef4c56461d81"
"1"	"I Think It Is Beautiful That You Are 256 Colors Too"	"3d17a881-a05d-403c-8464-e45b1d1fcf81"	"Black Moth Super Rainbow"	"44e14e88-b17a-44d8-9e94-f3afa977239b"	"I Think It Is Beautiful That You Are 256 Colors Too"	"3d17a881-a05d-403c-8464-e45b1d1fcf81"	"Black Moth Super Rainbow"	"44e14e88-b17a-44d8-9e94-f3afa977239b"	"Falling Through a Field"	"1de6450a-849b-48ac-b8e9-faa8909f0232"	"Black Moth Super Rainbow"	"44e14e88-b17a-44d8-9e94-f3afa977239b"
"1"	"TiK ToK"	"40ff18e3-3551-4529-af0b-c72d11594b34"	"Ke$ha"	"d20c9b30-d59e-4426-b804-82a0e54dbe14"	"TiK ToK"	"40ff18e3-3551-4529-af0b-c72d11594b34"	"Ke$ha"	"d20c9b30-d59e-4426-b804-82a0e54dbe14"	"Animal"	"335571ff-b8df-42ca-92cf-2fa84af0d3f0"	"Ke$ha"	"d20c9b30-d59e-4426-b804-82a0e54dbe14"
